EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8002551;AELB;de:02000:11943;Hamburg Elbbrücken;RV;10,0245;53,5345;DB Station und Service AG;;neu
8001944;TETN;;Eutingen Nord;RV;8,7531;48,4847;DB Station und Service AG;;neu
8003074;MIA;;Ingolstadt Audi;RV;11,4074564;48,7904959;DB Station und Service AG;;neu
8001723;HEBA;;Einbeck Otto-Hahn-Straße;RV;9,89290953;51,8144784;Ilmebahn GmbH;;neu
8004371;KRO;;Nörvenich-Rommelsheim;nur DPN;6,547586;50,782539;Rurtalbahn GmbH;;neu
8010340;DSTR;;Straßgräbchen-Bernsdorf;nur DPN;14,052047;51,361469;;;neu
8001510;TDSA;de:08237:8009:2;Dornstetten-Aach;RV;8,48291;48,4733;DB Station und Service AG;;neu
8001966;MFOL;de:09187:90183;Feldolling;nur DPN;11,852244;47,895336;DB Station und Service AG;;neu
8002060;FFGG;de:06412:11500;Frankfurt(Main)-Gateway Gardens;RV;8,59449506;50,0565739;DB Station und Service AG;;neu
8002535;EOBG;de:05962:3517;Halver-Oberbrügge;RV;7,574042;51,191867;DB Station und Service AG;;neu
8003105;HJAH;de:03461:3106;Jaderberg;nur DPN;8,182909;53,339108;DB Station und Service AG;;neu
8003297;EKIE;de:05962:2677:90;Kierspe;RV;7,61622906;51,1300136;DB Station und Service AG;;neu
8003305;EREKK;de:05554:37195;Reken-Klein Reken;nur DPN;7,03519821;51,7870373;DB Station und Service AG;;neu
8005169;MRAI;de:09163:201;Rosenheim Aicherpark;nur DPN;12,089467;47,851651;DB Station und Service AG;;neu
8005933;RSFW;de:08215:1864;Stettfeld-Weiher;RV;8,6369276;49,1836249;DB Station und Service AG;;neu
8011201;BFBI;de:12061:900260009;Flughafen BER - Terminal 1-2;FV;13,5119498;52,3648038;DB Station und Service AG;;neu
8011404;UDO;de:16065:8011404;Donndorf(Unstrut);nur DPN;11,376962;51,298312;Deutsche Regionaleisenbahn GmbH;;neu
8011605;LBGR;de:15089:8011605;Bernburg-Roschwitz;nur DPN;11,7593;51,7811;DB Station und Service AG;;neu
8012273;LLMS;de:14713:8012273;Leipzig Mockauer Straße;RV;12,4121;51,3738;DB Station und Service AG;;neu
8012797;URO;de:16065:8012797;Roßleben;nur DPN;11,436302;51,297859;Deutsche Regionaleisenbahn GmbH;;neu
8013241;BWAF;de:12061:900260080;Waßmannsdorf;RV;13,4635305;52,36842;DB Station und Service AG;;neu
8013301;DWID;de:14625:6905;Wiednitz;nur DPN;14,039241;51,393167;;;neu
8071096;WSTS;de:12068:900205749;Rheinsberg Stechlinsee;nur DPN;12,985605;53,149007;Regio Infra Nord-Ost GmbH & Co. KG;;neu
8089201;BFBB;de:12061:900260009:3;Flughafen BER - Terminal 1-2 (S-Bahn);RV;13,5119176;52,3648431;DB Station und Service AG;;neu
8000001;KA;de:05334:1008;Aachen Hbf;FV;6,091499;50,7678;DB Station und Service AG;1;
8000002;TA;de:08136:1000;Aalen Hbf;FV;10,096271;48,841013;DB Station und Service AG;4;
8000004;HA;de:05774:7131;Altenbeken;FV;8,943319;51,766433;DB Station und Service AG;85;
8000007;FALZ;de:07331:55;Alzey;RV;8,109749;49,7502;DB Station und Service AG;133;
8000009;NAN;de:09561:11000;Ansbach;FV;10,578239;49,298032;DB Station und Service AG;161;
8000010;NAH;de:09661:99082;Aschaffenburg Hbf;FV;9,143697;49,980557;DB Station und Service AG;187;
8000011;AAG;de:01057:3365;Ascheberg(Holst);RV;10,339481;54,148462;DB Station und Service AG;191;
8000012;KAU;de:05382:59901;Au(Sieg);RV;7,656537;50,773765;DB Station und Service AG;204;
8000013;MA;de:09761:100;Augsburg Hbf;FV;10,88557;48,365441;DB Station und Service AG;220;
8000014;TAU;de:08436:1000;Aulendorf;FV;9,644046;47,953052;DB Station und Service AG;226;
8000015;FBA;de:06432:8563;Babenhausen(Hess);nur DPN;8,957182;49,957963;DB Station und Service AG;238;
8000016;TB;de:08119:7600;Backnang;RV;9,425989;48,942676;DB Station und Service AG;244;
8000017;TBF;de:08125:519;Bad Friedrichshall Hbf;RV;9,199771;49,231571;DB Station und Service AG;277;
